#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,,,,,
,,,,,
6,1078115,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,
7,1079115,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),24.086,
8,1082115,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),36.48,
9,1093115,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (COMPUTER SCIENCE),28.842,
10,1105115,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),35.372,
11,1108115,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),26.078,
12,1111115,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),43.497,
13,1117115,PWANI UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),34.003,
14,1118115,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (COMPUTER SCIENCE),24.015,
15,1165115,MAASAI MARA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),32.782,
16,1166115,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,
17,1169115,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,
18,1170115,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),35.264,
19,1229115,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),38.155,
20,1253115,MOI UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),38.968,
21,1263115,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (COMPUTER SCIENCE),44.825,
22,1500115,THE EAST AFRICAN UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,
23,1580115,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),33.591,
24,1600115,ALUPE UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,
25,1685115,THARAKA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),18.814,
26,5145115,OPEN UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (COMPUTER SCIENCE),-,
27,1060115,RIARA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,35.796,
28,1061115,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,24.072,
29,1063115,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,35.209,
30,1080309,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,37.695,
31,1087115,KISII UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,23.41,
32,1088115,GRETSA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
33,1096115,GARISSA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
34,1107115,ST PAULS UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
35,1114115,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,35.408,
36,1164115,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,41.039,
37,1173115,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,39.746,
,,,,,
#,PROG ,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,CODE,,,,
38,1196115,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
39,1240115,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,33.433,
40,1244115,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,24.643,
41,1249115,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,44.101,
,,AGRICULTURE AND TECHNOLOGY,,,
42,1279115,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,39.238,
43,1425115,ZETECH UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
44,1460115,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
45,1470115,KAIMOSI FRIENDS UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,25.508,
46,1480115,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
47,1570115,TURKANA UNIVERSITY COLLEGE,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
48,1700115,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,
,,,,,
1,1112116,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF ENGINEERING (CIVIL ENGINEERING),41.924,
2,1091116,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE (CIVIL ENGINEERING),28.212,
3,1111116,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (CIVIL ENGINEERING),42.574,
4,1166116,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (CIVIL ENGINEERING),34.851,
5,1263116,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (CIVIL ENGINEERING),43.463,
6,1063116,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,38.391,
7,1164116,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,39.11,
8,1170116,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,38.015,
9,1173116,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,39.863,
10,1246116,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,32.717,
11,1249116,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,42.618,
,,AGRICULTURE AND TECHNOLOGY,,,
BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING),,,,,
1,1111117,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING),42.275,
2,1263117,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (ELECTRICAL AND ELECTRONIC ENGINEERING),43.003,
3,1063117,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN ELECTRICAL & ELECTRONIC ENGINEERING,35.82,
4,1173117,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONIC ,38.823,
,,,ENGINEERING,,
5,1249117,JOMO KENYATTA UNIVERSITY OF ,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONIC ,42.434,
,,AGRICULTURE AND TECHNOLOGY,ENGINEERING,,
6,1057117,EGERTON UNIVERSITY,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,36.804,
7,1105117,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,35.699,
8,1170117,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,36.144,
9,1246117,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,35.502,
10,1166117,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (ELECTRICAL AND ELECTRONICS ENGINEERING),32.815,
BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING),,,,,
1,1112118,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING),39.887,
2,1091118,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),-,
3,1111118,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),41.109,
4,1166118,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),31.83,
5,1263118,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),41.835,
,,,,,
#,PROG ,INSTITUTION NAME,PROGRAMME NAME,CUTOFF - 2023,
,CODE,,,,
6,1063118,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,37.156,
7,1170118,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,35.444,
8,1173118,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,37.487,
